sla_incumplido,Tiempo_Resolucion_horas,Impacto,Prioridad,Nivel_1_Categorizacion,Nivel_2_Categorizacion,Nivel_3_Categorizacion,Servicio,Tipo_Incidencia,Fuente_Reportada,Tipo_Solucion,Categoria_Resolucion,Total_Transferencias,Indisponibilidad_Minutos,Reapertura,Incidente_Mayor,anio,mes,dia_semana,hora_creacion,es_fin_de_semana
1,92.35777777777778,4-Menor/Localizado,Baja,Conectividad,Networking,Apertura Simple,Conectividad Nacional,Restauración de servicio a usuario,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,624.0,No,No,2025,8,4,12,0
1,170.24583333333334,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,4,12,0
1,502.17861111111114,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,1,223.0,No,,2025,8,4,12,0
1,169.70027777777779,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,1246.0,No,,2025,8,4,15,0
1,289.53305555555556,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Movilidad,5,,No,,2025,8,4,15,0
1,385.3822222222222,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,4,15,0
1,455.3652777777778,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,217.0,No,,2025,8,4,15,0
1,431.26472222222225,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,,No,,2025,8,4,15,0
1,430.9291666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,4,16,0
1,500.92805555555555,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,5,,No,,2025,8,4,16,0
1,88.42111111111112,4-Menor/Localizado,Baja,Conectividad,Networking,Apertura Simple,Conectividad Nacional,Restauración de servicio a usuario,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,275.0,No,No,2025,8,4,16,0
1,285.8722222222222,2-Significativo/Amplio,Alta,Movilidad,Movilidad Básica,Problemas equipo,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Movilidad,3,1567.0,No,,2025,8,4,17,0
1,287.65444444444444,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,5,,No,,2025,8,4,17,0
1,333.53694444444443,2-Significativo/Amplio,Alta,IoT y Analítica,Movilidad Avanzada,Sin servicio,Iot - Conectividad Gestionada,Infrastructure Event,Escalación externa,Remoto,IoT y Analítica,3,,No,,2025,8,4,17,0
1,82.38277777777778,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,4,22,0
1,280.2663888888889,2-Significativo/Amplio,Alta,Movilidad,Movilidad Básica,Problemas equipo,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Movilidad,3,,No,,2025,8,4,22,0
0,26.08138888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,4,22,0
0,26.08138888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,4,22,0
0,25.561666666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,4,23,0
0,29.772222222222222,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,5,1,1
1,79.77222222222223,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,5,1,1
0,29.621388888888887,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,5,1,1
1,79.52083333333333,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,5,1,1
1,79.18611111111112,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,5,1,1
1,534.3661111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,5,30.0,No,,2025,8,5,2,1
1,77.61416666666666,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,5,3,1
1,419.59722222222223,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,5,3,1
1,533.5972222222222,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,6,6.0,No,,2025,8,5,3,1
1,81.54694444444445,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,6,254.0,No,,2025,8,5,3,1
1,75.50638888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,5,5,1
1,75.47305555555556,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,5,5,1
1,532.8363888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,5,23.0,No,,2025,8,5,6,1
1,416.0727777777778,2-Significativo/Amplio,Alta,IoT y Analítica,Movilidad Avanzada,Sin servicio,Iot - Conectividad Gestionada,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,5,6,1
0,36.06666666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,5,6,1
0,33.94138888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,5,9,1
0,33.13861111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,,No,,2025,8,5,9,1
1,266.45444444444445,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,1409.0,No,,2025,8,5,14,1
1,266.4375,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,1409.0,No,,2025,8,5,14,1
0,28.085555555555555,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,5,,No,,2025,8,5,14,1
0,27.61777777777778,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,80.0,No,,2025,8,5,15,1
0,27.61777777777778,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,80.0,No,,2025,8,5,15,1
0,24.684166666666666,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,5,20,1
0,26.179166666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,5,20,1
0,33.21333333333333,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,1,1
0,33.21333333333333,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,1,1
1,562.0686111111111,4-Menor/Localizado,Baja,Conectividad,Networking,Servicio intermitente / Degradado,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,5,,No,,2025,8,6,2,1
0,32.3175,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,314.0,No,,2025,8,6,6,1
0,27.74888888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,6,0.0,No,,2025,8,6,7,1
0,25.74861111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,7,1
0,27.746388888888887,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,7,1
0,27.746111111111112,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,27.745555555555555,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,7,1
0,27.744722222222222,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,27.74388888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,7,1
0,27.74361111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,27.731944444444444,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,27.730833333333333,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,29.730833333333333,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,60.0,No,,2025,8,6,7,1
0,27.729444444444443,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,27.728055555555557,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,7,1
0,27.725833333333334,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,7,1
0,27.725833333333334,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,27.725555555555555,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,7,1
0,27.724722222222223,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,27.724444444444444,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,7,1
1,135.72444444444446,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,29.721666666666668,2-Significativo/Amplio,Alta,IoT y Analítica,Movilidad Avanzada,Sin servicio,Iot - Conectividad Gestionada,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,50.0,No,,2025,8,6,7,1
0,29.715,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,7,1
0,29.715,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,27.7125,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,7,1
0,29.711944444444445,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,50.0,No,,2025,8,6,7,1
0,29.711666666666666,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,50.0,No,,2025,8,6,7,1
0,29.697777777777777,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,29.680555555555557,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,0.0,No,,2025,8,6,7,1
0,29.68,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,6,7,1
0,26.80472222222222,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,16.0,Sí,,2025,8,6,14,1
0,26.077222222222222,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,1,8.0,No,,2025,8,6,16,1
0,25.15,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,1,0.0,No,,2025,8,6,19,1
0,27.116666666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,1,0.0,No,,2025,8,6,19,1
0,33.67888888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,6,21,1
0,25.56138888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,4,0.0,No,,2025,8,6,21,1
0,31.766666666666666,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,6,23,1
1,395.805,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,5,24.0,No,,2025,8,0,3,0
0,26.44361111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,0,6,0
1,481.25666666666666,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,29.0,No,,2025,8,0,9,0
1,437.24,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,28.0,No,,2025,8,0,9,0
1,487.22305555555556,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,6.0,No,,2025,8,0,9,0
1,269.64694444444444,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,En Sitio,Conectividad - Acceso,10,0.0,Sí,,2025,8,0,11,0
1,431.5802777777778,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,4,55.0,No,,2025,8,0,11,0
1,505.58,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,0,11,0
1,268.5752777777778,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,0,12,0
1,268.55833333333334,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,0,12,0
1,505.3255555555556,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,54.0,No,,2025,8,0,15,0
1,416.69,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,5851.0,No,,2025,8,1,8,0
1,510.1113888888889,4-Menor/Localizado,Baja,Movilidad,Movilidad Básica,Problemas equipo,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Movilidad,3,,No,,2025,8,1,8,0
0,29.58416666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,1,11,0
1,341.5416666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,1,11,0
0,30.608333333333334,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,1,12,0
1,310.88194444444446,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,1,14,0
1,310.83166666666665,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,1,14,0
1,94.49666666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,5,,No,,2025,8,1,14,0
1,360.4861111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,1,16,0
1,359.5672222222222,2-Significativo/Amplio,Alta,IoT y Analítica,Movilidad Avanzada,Sin servicio,Iot - Conectividad Gestionada,Infrastructure Event,Escalación externa,Remoto,IoT y Analítica,3,,No,,2025,8,1,17,0
1,358.7447222222222,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,1,18,0
0,24.727777777777778,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,1,18,0
1,238.13055555555556,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,5,,No,,2025,8,1,20,0
1,238.13055555555556,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,5,,No,,2025,8,1,20,0
0,25.494444444444444,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,1,21,0
0,54.74805555555555,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,0.0,No,,2025,8,2,0,0
0,60.7125,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,10.0,No,,2025,8,2,0,0
1,202.7122222222222,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,2,0,0
0,24.711666666666666,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,3,0.0,No,,2025,8,2,0,0
1,202.71166666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,2,0,0
1,394.7113888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,10.0,No,,2025,8,2,0,0
0,40.71055555555556,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,10.0,No,,2025,8,2,0,0
1,394.7105555555556,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,10.0,No,,2025,8,2,0,0
1,394.7075,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,10.0,No,,2025,8,2,0,0
0,64.70694444444445,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,2,0,0
0,64.70694444444445,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Acceso,3,,No,,2025,8,2,0,0
0,30.706666666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Escalación externa,Remoto,Conectividad - Servicio,5,,No,,2025,8,2,0,0
